host_genus	n_new_pairs	n_new_candidates	n_new_phages
Candidatus	569	23	25
Prevotella	360	72	5
Streptococcus	256	35	8
Veillonella	96	12	8
Oribacterium	70	10	7
Selenomonas	54	27	2
Solobacterium	44	2	22
Actinomyces	43	43	1
Porphyromonas	43	15	3
Alloprevotella	26	8	4
Eubacterium	17	17	1
Catonella	14	2	7
Neisseria	13	13	1
Gemella	12	6	2
Stomatobaculum	12	4	3
TM7	12	6	2
Mogibacterium	10	5	2
Corynebacterium	9	9	1
Megasphaera	8	2	4
Pseudopropionibacterium	8	4	2
Lachnoanaerobaculum	6	6	1
Peptostreptococcus	5	5	1
Abiotrophia	4	4	1
Granulicatella	4	4	1
Lachnospiraceae	4	4	1
Peptoanaerobacter	2	2	1
